service_display_name,name,quantity,region,service_id,sku,"total_price, PLN",notes
Device Server (Compute Engine),E2 Instance Core running in Americas,182.5,us-central1,6F81-5844-456A,CF4E-A0C7-E3BF,14.98841,
Device Server (Compute Engine),E2 Instance Ram running in Americas,730.0,us-central1,6F81-5844-456A,F449-33EC-A5EF,8.03592,
Device Server (Compute Engine),Storage PD Capacity,10.0,us-central1,6F81-5844-456A,D973-5D65-BAB2,0,
Users Server (Cloud Run),Services CPU (Request-based billing),10000000,global,152E-C115-5142,4856-B847-F1EB,0.90368,
Users Server (Cloud Run),Services Memory (Request-based billing),5000000.0,global,152E-C115-5142,02A2-9231-36A6,0.04707,
Users Server (Cloud Run),Requests,10000000,global,152E-C115-5142,2DA5-55D3-E679,12.04912,
Users Frontend (Cloud Run),Services CPU (Request-based billing),10000000,global,152E-C115-5142,4856-B847-F1EB,0.90368,
Users Frontend (Cloud Run),Services Memory (Request-based billing),5000000.0,global,152E-C115-5142,02A2-9231-36A6,0.04707,
Users Frontend (Cloud Run),Requests,10000000,global,152E-C115-5142,2DA5-55D3-E679,12.04912,
,,,,,,,
,,,,,Total Price:,49.02407,
,,,,,,,
"Prices are in PLN, effective date is 2025-05-23T11:25:26.495Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVJpWmpWbE16TTVZeTFsWkRSbUxUUmtabVl0WWpRelpTMWxOV0UzWWpjNFpXUmhOVFVRQVE9PRokRDM0MDFFQjktRjcwMi00RTFGLUFCNEEtQjNCMUE4M0VDOTFB,,,,,,